관광지명,위도,경도,소재지주소
모항해수욕장,35.5831428,126.5082098,전라북도 부안군 변산면 모항길 23-1
미당서정주의 집,37.4734032,126.973367,서울특별시 관악구 남부순환로 256 나길 4
강감찬전시관,37.47197208,126.959371,서울특별시 관악구 낙성대로 77 낙성대공원내
주왕산 관광지,36.37813214,129.108598,경상북도 청송군 주왕산면 주왕산로 494
우수영관광지,34.57257374,126.3101147,전라남도 해남군 문내면 관광레저로 1
땅끝관광지,34.29471348,126.5250233,전라남도 해남군 송지면 땅끝마을길 100
등명해변관광지,37.70232906,129.0161926,강원도 강릉시 강동면 정동등명길 2
대관령어흘리관광지,37.719113,128.7960845,강원도 강릉시 성산면 삼포암길 17
용마폭포공원,37.57335201,127.0891138,서울특별시 중랑구 용마산로 250-12
망우리공원,37.59835362,127.1148164,서울특별시 중랑구 망우로 570
중랑캠핑숲,37.60495511,127.1099608,서울특별시 중랑구 망우로87길 110
섬진강도깨비마을,35.25424902,127.363209,전라남도 곡성군 고달면 호곡도깨비길 119-99
압록상상스쿨,35.19580901,127.375484,전라남도 곡성군 오곡면 섬진강로 1060
압록유원지,35.19196269,127.3775123,전라남도 곡성군 죽곡면 섬진강로 1012
반월호수,37.32458238,126.8899642,경기도 군포시 호수로 92
초막골 생태공원,37.35410097,126.9191417,경기도 군포시 초막골길 216
철쭉동산,37.35543392,126.924967,경기도 군포시 산본동 1152-14
수리사,37.35443607,126.8967938,경기도 군포시 속달로 347-181
물누리체험관,37.32136505,126.8996775,경기도 군포시 호수로 170-85
라비에벨,37.74121725,127.7578198,강원도 춘천시 동산면 종자리로 436
옹기테마공원,37.61265372,127.0885194,서울특별시 중랑구 신내로21길 116
대광해수욕장,35.10291276,126.0725117,전라남도 신안군 임자면 대광해수욕장길 179
호미곶관광단지,36.07608308,129.5665319,경상북도 포항시 남구 호미곶면 해맞이로 136
실안관광지,34.94398447,128.0399764,경상남도 사천시 노을길 138
에버랜드,37.2940667,127.202128,경기도 용인시 처인구 포곡읍 에버랜드로 199
한국민속촌,37.25913189,127.1225431,경기도 용인시 기흥구 민속촌로 90
변산해수욕장,35.67999179,126.5309105,전북특별자치도 부안군 변산면 변산로 2086
위도해수욕장,35.60583098,126.2853294,전북특별자치도 부안군 위도면 위도로 366
모항해수욕장,35.5831428,126.5082098,전북특별자치도 부안군 변산면 모항길 23-1
어답산관광지,37.59380861,128.0575207,강원도 횡성군 갑천면 어답산로 516
마곡사관광지,36.55617136,127.0205918,충청남도 공주시 사곡면 운암리 731-2
공주문화관광지,36.47022166,127.1117007,충청남도 공주시 웅진동 431
삽교호관광지,36.88890544,126.8247541,충청남도 당진시 신평면 삽교천3길 100
왜목마을관광지,37.04493276,126.5246154,충청남도 당진시 석문면 왜목길 15-5
난지섬관광지,37.047036,126.4242087,충청남도 당진시 석문면 난지1길 67
임진각관광지,37.88953876,126.7401859,경기도 파주시 문산읍 임진각로 177
마하생태관광지,37.29236873,128.5412837,강원특별자치도 평창군 미탄면 마하길 42-5
용평관광단지,37.65094444,128.7055569,강원특별자치도 평창군 대관령면 올림픽로 715
알펜시아관광단지,37.65925417,128.6840107,강원특별자치도 평창군 대관령면 솔봉로 325
휘닉스파크관광단지,37.58246341,128.3268678,강원특별자치도 평창군 봉평면 태기로 174
삼척해수욕장,37.47034344,129.1647024,강원특별자치도 삼척시 수로부인길 453
망상,37.59225327,129.0896922,강원특별자치도 동해시 동해대로 6270-10
추암,37.477063,129.159196,강원특별자치도 동해시 촛대바위길 28
금마관광지,36.0015063,127.0570781,전라북도 익산시 금마면 고도9길 41-14
직탕,38.2069247,127.2690548,강원도 철원군 갈말읍 직탕길 32
칠곡양떼목장,35.984545,128.48874,경상북도 칠곡군 지천면 창평로 209-42
영산포 역사갤러리,35.00072134,126.7115039,전라남도 나주시 영산3길 17
나주복암리고분전시관,34.99608962,126.6570592,전라남도 나주시 다시면 백호로 287
일본인근대가옥,34.99946578,126.7131249,전라남도 나주시 예향로 3869-4
빛가람호수공원전망대,35.01683337,126.7904361,전라남도 나주시 호수로 77
구문소 관광지,37.09296812,129.0422636,강원도 태백시 동태백로11(동점동)
용연동굴,37.20888277,128.9418601,강원도 태백시 태백로 283-29
철암탄광역사촌,37.11436554,129.0372165,강원도 태백시 동태백로 406
석탄박물관,37.11724029,128.9505662,강원도 태백시 천제단길 195
태백고생대자연사박물관,37.0948994,129.0396319,강원도 태백시 태백로 2249
섬진강 침실습지,35.27503038,127.3335915,전라남도 곡성군 고달면 고달길 192-6
곡성아트빌리지,35.23004949,127.3677915,전라남도 곡성군 오곡면 섬진강로 1455
곡성섬진강천문대,35.22666779,127.3691674,전라남도 구례군 구례읍 섬진강로 1234
가산산성,36.021011,128.590851,경상북도 칠곡군 동명면 남원리 32-78
가산산성야영장,36.016197,128.618108,경상북도 칠곡군 동명면 한티로 1034
구상문학관,35.983943,128.394568,경상북도 칠곡군 왜관읍 구상길 191
다부동전적기념관,36.046443,128.518875,경상북도 칠곡군 가산면 호국로 1486
송정자연휴양림,36.023332,128.441641,경상북도 칠곡군 석적읍 반계3길 88
칠곡보오토캠핑장,36.020591,128.394566,경상북도 칠곡군 약목면 강변서로 110-43
칠곡호국평화기념관,36.017918,128.404032,경상북도 칠곡군 석적읍 강변대로 1580
양구수목원,38.19204231,128.0762778,강원도 양구군 동면 숨골로 310번길 131
오-월드,36.28749924,127.3985039,대전광역시 중구 사정공원로 70(사정동)
국립나주박물관,34.91485383,126.6589014,전라남도 나주시 반남면 고분로 747
화진포 생태박물관,38.47218738,128.4436214,강원도 고성군 거진읍 화진포길 256
송지호 관망타워,38.33623615,128.5175989,강원도 고성군 죽왕면 동해대로 6021
